"S. No","Project Registration No.","Name and Address of the Promoter","Project Details and Address","Approval Details","Project Completion Date","Other Details","Form-c","Current Status of the Project"
"146","TNRERA/35/BLG/0146/2026                                 dated 25-04-2026","M/s. DAC DEVELOPERS SPV3 PVT LTD, Flat No. A-1, Ground Floor, No.19, K-Block, 1st Main Road, Anna nagar East, CHENNAI, Chennai, Tamil Nadu-600102.","Project Name: THE LORD'S BY DACRegistration of Ground + 1st floors for Villa No: 1 To 6, 7A To 11, 14, 16 To 117 and Stilt + 3 Floors for Villa No.15 at S.No:217/5, 217/6, 217/7A, 217/7B, 217/8, 217/9, 217/10, 217/11A, 217/11B, 217/12, 217/13, 217/14, 217/15A, 217/15B, 217/16, 217/17, 217/18, 217/19, 218/1, 218/2, 218/3A, 218/3B, 218/4, 218/5, 218/6, 218/7A, 218/7B, 218/9, 218/10, 218/11A, 218/11B, 218/12, 218/13, 218/14, 218/15, 218/16, 218/17, 218/18, 218/19A, 218/19B, 218/20, 218/21, 218/22A, 218/22B, 218/23, 218/24, 220/1, 220/2, 220/3, 220/4, 220/5, 220/6, 220/11A, 220/11B, 220/12, 220/13, Pudupakkam Village, Vandalur Taluk, Chengalpattu District.","The President, Pudupakkam Panchayat   issued building permission in Letter No. Villa No.1	Lr.No.SWP/SCM/DTCP/RP/0383395/2026	Dt.04.03.2026, Villa No.2 Lr.No.SWP/SCM/DTCP/RP/0383457/2026	Dt.04.03.2026 , Villa No.3	Lr.No.SWP/SCM/DTCP/RP/0383456/2026	Dt.04.03.2026, Villa No.4	Lr.No.SWP/SCM/DTCP/RP/0383484/2026	Dt.04.03.2026, Villa No.5	Lr.No.SWP/SCM/DTCP/RP/0383497/2026	Dt.04.03.2026, Villa No.6 Lr.No.SWP/SCM/DTCP/RP/0383519/2026	Dt.04.03.2026, Villa No.7A	Lr.No.SWP/SCM/DTCP/RP/0389387/2026	Dt.11.03.2026, Villa No.9	Lr.No.SWP/SCM/DTCP/RP/0389362/2026	Dt.11.03.2026, Villa No.10	Lr.No.SWP/SCM/DTCP/RP/0389348/2026	Dt.11.03.2026, Villa No.11	Lr.No.SWP/SCM/DTCP/RP/0389295/2026	Dt.11.03.2026, Villa No.14	Roc No:79/2025-26	Dt.28.03.2026, Villa No.15	Roc No:69/2025-26	Dt.19.02.2026, Villa No.16	Lr.No.SWP/SCM/DTCP/RP/0383562/2026	Dt.04.03.2026, Villa No.16A	Lr.No.SWP/SCM/DTCP/RP/0383634/2026	Dt.04.03.2026, Villa No.18	Lr.No.SWP/SCM/DTCP/RP/0378165/2026	Dt.26.02.2026, Villa No.19	Lr.No.SWP/SCM/DTCP/RP/0378181/2026	Dt.26.02.2026, Villa No.20	Lr.No.SWP/SCM/DTCP/RP/0383656/2026	Dt.04.03.2026, Villa No.21	Lr.No.SWP/SCM/DTCP/RP/0384133/2026	Dt.05.03.2026, Villa No.22	Lr.No.SWP/SCM/DTCP/RP/0384159/2026	Dt.05.03.2026, Villa No.23	Lr.No. SWP/SCM/DTCP/RP/0384181/2026	Dt.05.03.2026, Villa No.24	Lr.No.SWP/SCM/DTCP/RP/0384202/2026	Dt.05.03.2026, Villa No.25	Lr.No.SWP/SCM/DTCP/RP/0384214/2026	Dt.05.03.2026, Villa No.25A	Lr.No.SWP/SCM/DTCP/RP/0384282/2026	Dt.05.03.2026, Villa No.27	Lr.No.SWP/SCM/DTCP/RP/0384303/2026	Dt.05.03.2026, Villa No.28	Lr.No.SWP/SCM/DTCP/RP/0378199/2026	Dt.26.02.2026, Villa No.29	Lr.No.SWP/SCM/DTCP/RP/0356316/2026	Dt.29.01.2026, Villa No.30	Lr.No.SWP/SCM/DTCP/RP/0378218/2026	Dt.26.02.2026, Villa No.31	Lr.No.SWP/SCM/DTCP/RP/0384933/2026	Dt.06.03.2026, Villa No.32	Lr.No.SWP/SCM/DTCP/RP/0385058/2026	Dt.06.03.2026, Villa No.33	Lr.No.SWP/SCM/DTCP/RP/0385079/2026	Dt.06.03.2026, Villa No.34	Lr.No.SWP/SCM/DTCP/RP/0378234/2026	Dt.26.02.2026, Villa No.34A	Lr.No.SWP/SCM/DTCP/RP/0385109/2026	Dt.06.03.2026, Villa No.36	Lr.No.SWP/SCM/DTCP/RP/0385138/2026	Dt.06.03.2026, Villa No.37	Lr.No.SWP/SCM/DTCP/RP/0385184/2026	Dt.06.03.2026, Villa No.38	Lr.No.SWP/SCM/DTCP/RP/0385254/2026	Dt.06.03.2026, Villa No.39	Lr.No.SWP/SCM/DTCP/RP/0385274/2026	Dt.06.03.2026, Villa No.40	Lr.No.SWP/SCM/DTCP/RP/0385316/2026	Dt.06.03.2026, Villa No.41	Lr.No.SWP/SCM/DTCP/RP/0385328/2026	Dt.06.03.2026, Villa No.42	Lr.No.SWP/SCM/DTCP/RP/0385350/2026	Dt.06.03.2026, Villa No.43	Lr.No.SWP/SCM/DTCP/RP/0385376/2026	Dt.06.03.2026, Villa No.43A	Lr.No.SWP/SCM/DTCP/RP/0385423/2026	Dt.06.03.2026, Villa No.45	Lr.No.SWP/SCM/DTCP/RP/0385457/2026	Dt.06.03.2026, Villa No.46	Lr.No.SWP/SCM/DTCP/RP/0385504/2026	Dt.06.03.2026, Villa No.47	Lr.No.SWP/SCM/DTCP/RP/0385526/2026	Dt.06.03.2026, Villa No.48	Lr.No.SWP/SCM/DTCP/RP/0385849/2026	Dt.07.03.2026, Villa No.48A	Lr.No.SWP/SCM/DTCP/RP/0385862/2026	Dt.07.03.2026, Villa No.50	Lr.No.SWP/SCM/DTCP/RP/0385877/2026	Dt.07.03.2026, Villa No.51	Lr.No.SWP/SCM/DTCP/RP/0385919/2026	Dt.07.03.2026, Villa No.52	Lr.No.SWP/SCM/DTCP/RP/0378244/2026	Dt.26.02.2026, Villa No.52A	Lr.No.SWP/SCM/DTCP/RP/0385963/2026	Dt.07.03.2026, Villa No.54	Lr.No.SWP/SCM/DTCP/RP/0378263/2026	Dt.26.02.2026, Villa No.55	Lr.No.SWP/SCM/DTCP/RP/0378289/2026	Dt.26.02.2026, Villa No.56	Lr.No.SWP/SCM/DTCP/RP/0378322/2026	Dt.26.02.2026, Villa No.57	Lr.No.SWP/SCM/DTCP/RP/0378344/2026	Dt.26.02.2026, Villa No.57A	Lr.No.SWP/SCM/DTCP/RP/0378389/2026	Dt.26.02.2026, Villa No.59	Lr.No.SWP/SCM/DTCP/RP/0385989/2026	Dt.07.03.2026, Villa No.60	Lr.No.SWP/SCM/DTCP/RP/0386010/2026	Dt.07.03.2026, Villa No.61	Lr.No.SWP/SCM/DTCP/RP/0375878/2026	Dt.25.02.2026, Villa No.61A	Lr.No.SWP/SCM/DTCP/RP/0375890/2026	Dt.25.02.2026, Villa No.63	Lr.No.SWP/SCM/DTCP/RP/0386032/2026	Dt.07.03.2026, Villa No.64	Lr.No.SWP/SCM/DTCP/RP/0386059/2026	Dt.07.03.2026, Villa No.65	Lr.No.SWP/SCM/DTCP/RP/0386084/2026	Dt.07.03.2026, Villa No.66	Lr.No.SWP/SCM/DTCP/RP/0386193/2026	Dt.07.03.2026, Villa No.66A	Lr.No.SWP/SCM/DTCP/RP/0386213/2026	Dt.07.03.2026, Villa No.68	Lr.No.SWP/SCM/DTCP/RP/0386233/2026	Dt.07.03.2026, Villa No.69	Lr.No.SWP/SCM/DTCP/RP/0386918/2026	Dt.09.03.2026, Villa No.70	Lr.No.SWP/SCM/DTCP/RP/0387239/2026	Dt.09.03.2026, Villa No.70A	Lr.No.SWP/SCM/DTCP/RP/0387294/2026	Dt.09.03.2026, Villa No.72	Lr.No.SWP/SCM/DTCP/RP/0387315/2026	Dt.09.03.2026, Villa No.73	Lr.No.SWP/SCM/DTCP/RP/0387372/2026	Dt.09.03.2026, Villa No.74	Lr.No.SWP/SCM/DTCP/RP/0387402/2026	Dt.09.03.2026, Villa No.75	Lr.No.SWP/SCM/DTCP/RP/0387462/2026	Dt.09.03.2026, Villa No.75A	Lr.No.SWP/SCM/DTCP/RP/0387504/2026	Dt.09.03.2026, Villa No.77	Lr.No.SWP/SCM/DTCP/RP/0387544/2026	Dt.09.03.2026, Villa No.78	Lr.No.SWP/SCM/DTCP/RP/0378400/2026	Dt.26.02.2026, Villa No.79	Lr.No.SWP/SCM/DTCP/RP/0387574/2026	Dt.09.03.2026, Villa No.79A	Lr.No.SWP/SCM/DTCP/RP/0387819/2026	Dt.10.03.2026, Villa No.81	Lr.No.SWP/SCM/DTCP/RP/0387832/2026	Dt.10.03.2026, Villa No.82	Lr.No.SWP/SCM/DTCP/RP/0387847/2026	Dt.10.03.2026, Villa No.83	Lr.No.SWP/SCM/DTCP/RP/0387864/2026	Dt.10.03.2026, Villa No.84	Lr.No.SWP/SCM/DTCP/RP/0387877/2026	Dt.10.03.2026, Villa No.84A	Lr.No.SWP/SCM/DTCP/RP/0387895/2026	Dt.10.03.2026, Villa No.86	Lr.No.SWP/SCM/DTCP/RP/0387921/2026	Dt.10.03.2026, Villa No.87	Lr.No.SWP/SCM/DTCP/RP/0387954/2026	Dt.10.03.2026, Villa No.88	Lr.No.SWP/SCM/DTCP/RP/0387977/2026	Dt.10.03.2026, Villa No.88A	Lr.No.SWP/SCM/DTCP/RP/0388002/2026	Dt.10.03.2026, Villa No.90	Lr.No.SWP/SCM/DTCP/RP/0388034/2026	Dt.10.03.2026, Villa No.91	Lr.No.SWP/SCM/DTCP/RP/0388061/2026	Dt.10.03.2026, Villa No.92	Lr.No.SWP/SCM/DTCP/RP/0388079/2026	Dt.10.03.2026, Villa No.93	Lr.No.SWP/SCM/DTCP/RP/0388109/2026	Dt.10.03.2026, Villa No.93A	Lr.No.SWP/SCM/DTCP/RP/0388236/2026	Dt.10.03.2026, Villa No.95	Lr.No.SWP/SCM/DTCP/RP/0388262/2026	Dt.10.03.2026, Villa No.96	Lr.No.SWP/SCM/DTCP/RP/0388286/2026	Dt.10.03.2026, Villa No.97	Lr.No.SWP/SCM/DTCP/RP/0388308/2026	Dt.10.03.2026, Villa No.97A	Lr.No.SWP/SCM/DTCP/RP/0388364/2026	Dt.10.03.2026, Villa No.99	Lr.No.SWP/SCM/DTCP/RP/0388386/2026	Dt.10.03.2026, Villa No.100	Lr.No.SWP/SCM/DTCP/RP/0388416/2026	Dt.10.03.2026, Villa No.101	Lr.No.SWP/SCM/DTCP/RP/0388435/2026	Dt.10.03.2026, Villa No.102	Lr.No.SWP/SCM/DTCP/RP/0388451/2026	Dt.10.03.2026, Villa No.103	Lr.No.SWP/SCM/DTCP/RP/0388493/2026	Dt.10.03.2026, Villa No.104	Lr.No.SWP/SCM/DTCP/RP/0388521/2026	Dt.11.03.2026, Villa No.105	Lr.No.SWP/SCM/DTCP/RP/0388827/2026	Dt.11.03.2026, Villa No.106	Lr.No.SWP/SCM/DTCP/RP/0388834/2026	Dt.11.03.2026, Villa No.107	Lr.No.SWP/SCM/DTCP/RP/0388867/2026	Dt.11.03.2026, Villa No.108	Lr.No.SWP/SCM/DTCP/RP/0388877/2026	Dt.11.03.2026, Villa No.109	Lr.No.SWP/SCM/DTCP/RP/0388910/2026	Dt.11.03.2026, Villa No.110	Lr.No.SWP/SCM/DTCP/RP/0388957/2026	Dt.11.03.2026, Villa No.111	Lr.No.SWP/SCM/DTCP/RP/0388987/2026	Dt.11.03.2026, Villa No.112	Lr.No.SWP/SCM/DTCP/RP/0378421/2026	Dt.26.02.2026, Villa No.113	Lr.No.SWP/SCM/DTCP/RP/0389022/2026	Dt.11.03.2026 ,Villa No.114	Lr.No.SWP/SCM/DTCP/RP/0378440/2026	Dt.26.02.2026 ,Villa No.115	Lr.No.SWP/SCM/DTCP/RP/0389059/2026	Dt.11.03.2026 Villa No.116	Lr.No.SWP/SCM/DTCP/RP/0389176/2026	Dt.11.03.2026, Villa No.117	Lr.No.SWP/SCM/DTCP/RP/0389205/2026	Dt.11.03.2026.","30.03.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.813911;Longitude-80.205422;","",""
"147","TNRERA/35/BLG/0147/2026                                 dated 25-04-2026","M/s.SYLVANUS BUILDERS AND DEVELOPERS LIMITED, Door No.4, 5, SIGMA CORPORATE PARK, NR MANN PARY PLOT, BODAKDEV, Ahmedabad, Gujarat-380059.","Project Name: Aurum Villa Phase 3Registration for Residential Building with Block -1: Ground + 1 Floor with 2 Dwelling Units,  Block -2: Ground + 1 Floor with 2 Dwelling Units,  Block -3: Ground + 1 Floor with 4 Dwelling Units,  Block -4: Ground + 1 Floor with 20 Dwelling Units,  Block -5: Ground + 1 Floor with 6 Dwelling Units,  Block -6: Ground + 1 Floor with 10 Dwelling Units,  Block -7: Ground + 1 Floor with 14 Dwelling Units,  Block - 8: Ground + 2 Floor & Ground + 1 Floors with 8 Dwelling Units,  Block -9: Ground + 1 Floor with 8 Dwelling Units,  Block -10: Ground + 1 Floor with 10 Dwelling Units,  Block -11: Ground + 1 Floor with 1 Dwelling Unit,  Block -12: Ground + 1 Floor & Ground + 2 Floors with 7 Dwelling Units (Totally 12 Blocks with 92 Dwelling Units) comprised in Survey No.190/13B2, 14B2, 15A, 15B, 16A1, 16B1, 16B2, 16B3, 192/1A, 1B, 2, 10,193/1A, 1B and 193/9A1 of Pudupakkam Village, Vandalur Taluk, Chengalpattu District.","Assistant Director, T&CP, Chengalpattu District, issued Planning Permission No. SWP/B.P/M.L.P.A (CD-5) No.94/2025. in Letter No. SWP/BPA/227111/2024, Dated 26/08/2025. The President,  Pudupakkam Village Panchayat  issued Building Permission in Letter ROC No. 49, Dated 19/04/2026.","30.09.2033","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-124825.3;Longitude-801238.5;","",""
"148","TNRERA/29/BLG/0148/2026                                 dated 25-04-2026","SANJAY JAYAPAL, Door No.No.78/132, Dr.R.K.SALAI, MYLAPORE, MYLAPORE Village , Taluk.MYLAPORE, Chennai, Tamil Nadu-600004.                                                                        N JAYAPALAN, Door No.10/192, Harichandra Colony 3rd Cross Street, injambakkam Village , Chennai, Tamil Nadu-600115.                                                                        P K BANUMATHI, Door No.10/192, Harichandra Colony 3rd Cross Street, injambakkam Village , Chennai, Tamil Nadu-600115.                                                                        HANSA JAYAPALAN, Door No.10/192, Harichandra Colony 3rd Cross Street, injampakkam Village , Chennai, Tamil Nadu-600115.","Project Name: SANBEES HOTEL PVT LTDRegistration for Ground floor (part) / Stilt floor (part) +2 floors Air Conditioned Cinema Theatre with 9 screens commercial building at East Coast Road (ECR), Injambakkam, Chennai in S.No.165/21B (as per Document), S.No.165/176A1, 165/176A2, 165/176A3, 165/176A4, 165/176A5, 165/176A6, 165/176A7, 165/176A8 (as per patta) of Injambakkam Village, Chennai District.","CMDA issued Planning Permission No.B/NHRB/455 A to D /2019 in Letter No.B1/22297/2018 dated 16/12/2019. Greater Chennai Corporation issued Building Permission in Letter No. CEBA/WDCN15/00417/2020 dated 21/12/2020.","Completed","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.931980;Longitude-80.252118;","","Completed"
"149","TNRERA/29/BLG/0149/2026                                 dated 25-04-2026","M/s.THE NEST, Door No.15/6, Kamarajar Nagar 4th Street, Choolaimedu, Chennai, Tamil Nadu-600094.","Project Name: NEST UNIQUERegistration for Stilt Floor + 5 Floors (Height - 18.30m) Residential Building with 79 Dwelling units for Affordable Housing with Gym & Indoor Games Room at Karanai Road, Ottiyambakkam, Chennai comprised in S.No.276/7A1 of Ottiyambakkam Village within the Limits of St.Thomas Mount Panchayat Union, Tambaram Taluk, Chengalpattu District.","The CMDA issued planning permission No.OL-PP/NHRB/0119/2026 in Letter No.CMDA/PP/NHRB/S/0055/2026 dated 11/03/2026. The President, St.Thomas Mount Panchayat,Chengalpattu District issued building permission in Letter No.CMDA/PP/NHRB/S/0055/2026 dated 20/03/2026.","30.09.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.866788;Longitude-80.199649;","",""
"150","TNRERA/35/BLG/0150/2026                                 dated 25-04-2026","My Viva Housing Private Limited, Plot No.Flat No.2, Tannery Street, Pallavaram Village , Chennai, Chennai, Tamil Nadu-600043.                                                                        Krishna Kumar, Flat No.CE201, KEH NARIYAS, Kalyanaraman Street,, Dharga Road,  Zamin Pallavaram, Chennai, Tamil Nadu-600043.                                                                        -, -, Chennai, Tamil Nadu-600074.                                                                        -, -, Chennai, Tamil Nadu-600074.                                                                        -, -, Kancheepuram, Tamil Nadu-600044.","Project Name: VIVA VestaRegistration for  Stilt floor + 3 Floors Residential with 16 Dwelling units at Panneer Selvam Main Road and Elango Street, Zamin Pallavaram, Chennai 600043, comprised in Old S.No.159/1, 159/2 & 159/3 (Document) and T.S.No.50/2, Block No.19, Ward – C of Zamin Pallavaram Village, Pallavaram Taluk within the limits of Tambaram Municipal Corporation, Chengalpattu District.","CMDA issued Planning Permission No.OL-PP/NHRB/0365/2025 in Letter No.  CMDA/PP/NHRB/S/0464/2025, Dated 23/09/2025. The Commissioner, Tambaram City Municipal Corporation, issued Building Permission in Letter No. 009/BL/2025/02/021/01091, Dated 11/11/2025.","31.12.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.957419;Longitude-80.1701;","",""
"151","TNRERA/11/BLG/0151/2026                                 dated 25-04-2026","M/S. Sri Gujan Builder and Developers, Flat No.SITE NO. 1 AND 12, BHARGAVA TOWER, DR. NIRMALARANI GARDEN, MARUTHAMALAI MAIN ROAD, COIMBATORE Village , COIMBATORE, Coimbatore, Tamil Nadu-641041.                                                                        Narmadha, Plot No.16, Senthil Nagar, Samganoor Road, Coimbatore North Village , Coimbatore, Coimbatore, Tamil Nadu-641006.                                                                        Hariharan, Plot No.16, Senthil Nagar, Sanganoor Road,, Coimbatore North Village , Coimbatore, Coimbatore, Tamil Nadu-641006.","Project Name: GUJANS PARIPALANA PHASE IV BLOCK - 3Registration for Stilt Floor + 5 Floors with 42 Dwelling Units comprised in Survey No.144/1B2, 144/2A1B, 144/1B1B, 144/2A1A2,144/1B1A2, 144/1B1A1B, 144/14A1B, 144/14A2, 144/15, 144/2A1A1B, 144/14B, 144/16 of Madampatti Village, Perur Taluk,Coimbatore District.","The Joint Director, T&CP, Coimbatore District issued Planning Permission No. 142/2025 in Application No.SWP/BPA/481138/2025 Dated 28/03/2025. The President issued Building Permission in Letter ROC No. 13, Dated 30/04/2025.","27.03.2033","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-10.939045;Longitude-76.866411;","",""
"152","TNRERA/11/BLG/0152/2026                                 dated 25-04-2026","M/s. Unitd Living Space LLP, Door No.496 , B - 13, Plot No.GRAND CAG CENTRAL, NAVA INDIA, AVINASHI ROAD, Coimbatore, Tamil Nadu-641  004.","Project Name: MUH 49.2Registration for Residential building consists of Block A2 - Stilt Floor + 5 Floors with 40 dwelling units , Block B2 - Stilt Floor + 5 Floors with 116 dwelling units (Recreational Club at 1st Floor) , Block C2 - Stilt Floor + 5 Floors with 40 dwelling units and by totally 196 dwelling units. Comprised in S.No. 488/2  of  Chinnavedampatti  Village , Coimbatore North Taluk , Coimbatore District.","The  Joint  Director , T&CP , Coimbatore District  has issued planning permission vide letter No. SWP/BPA/711567/2025   dated 23.02.2026. The  Commissioner , Coimbatore City Municipal Corporation has issued building permission vide letter No. 162/BL/2026/04/003/00478  dated 19.03.2026.","22.02.2034","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.07934;Longitude-76.97781;","",""
"153","TNRERA/1/BLG/0153/2026                                 dated 25-04-2026","M/s. Asset Tree Homes, Plot No. 20, Zion Complex , 2nd Floor, Pammal Main Road, Pammal, Chennai, Tamil Nadu-600075.","Project Name: ATH MERLION Phase IIRegistration for Stilt floor + 5 floors(Height – 18.30m) Residential Building with 25 dwelling units for Affordable Housing and Association Room atPlot Nos.13, 14, 15, 16 & 17 (CMDA Approved Layout No.202/2023), Maansarovar Nagar Phase II, Rendamkattalai, Chennai 600128 comprised in Old S.No.239/1 & 239/3 (Document), New S.No.239/1D, 239/1E,239/1F, 239/1G, 239/1H & 239/3D (Patta) of Rendamkattalai Village, within the limit of Kundrathur PanchayatUnion Kancheepuram District.","CMDA issued planning permission in Letter No. OL-PP/NHRB/0126/2025 vide letter No. CMDA/PP/NHRB/C/0084/2025 dated 07-04-2025. President, Kundrathur Village pancahayat issued building permission in Letter No. 12/2025 dated: 23/10/2025","30.12.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.996224;Longitude-80.115966;","",""
"154","TNRERA/29/BLG/0154/2026                                 dated 25-04-2026","Asif Ali, Door No.245, 8th Cross Street,  Arulananda Nagar, Thanjavur, Thanjavur, Tamil Nadu-613007.                                                                        Fathima Begum, Door No.245, 8th Cross Street, Arulananda Nagar, Thanjavur, Thanjavur, Tamil Nadu-613007.","Registration for Stilt floor (Mechanized Pit Puzzle Parking) + 3 Floors Commercial (Office) Building (14.00m Height) availing Premium FSI with TOD Benefits at Plot No. 4951, Old Door No. AC-64/1, New Door No. 254/1, AC Block 4th Avenue and 5th Avenue, Anna Nagar, Chennai – 600040, Comprised in Old S.No. 69 part, 73 part & 74 part, T.S.No. 158, Block No. 1B of Naduvakkarai Village, Chennai District.","CMDA issued planning permission inOL-PP/NHRB/0219/2024 vide letter No. CMDA/PP/NHRB/N/0136/2024 dated 28/05/2024. GCC issued building permission in Letter No. CEBA/WDCN08/00274/2024 dated 25/06/2024.","Completed","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.082761804999919;Longitude-80.21034671685649;","","Completed"
"155","TNRERA/11/BLG/0155/2026                                 dated 28-04-2026","M/s Dhiya Foundation Pvt Ltd, Mrs. Vijaya Rani & Mr. Sreejith Koorkaparambil, No 22/1, PRR Nagar, PN Pudur, Coimbatore Village , Coimbatore, Coimbatore, Tamil Nadu-641041.","Project Name: Dhiya's UshasRegistration for Stilt + 5 Floors with 10 dwelling units at Ward No:P (16) - Block No:26, T.S.No:52 at Telungupalayam Village, Coimbatore District.","Joint Director, T&CP, Coimbatore District issued planning permission in Letter No. SWP/BPA/791631/2026 dated 02/03/2026. Commissioner Coimbatore Corporation issued building permission in Letter No. 162/BL/2026/03/043/00484 dated 20/03/2026.","31.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.028588;Longitude-76.936138;","",""
